constraint_schema,constraint_name,constraint_type,table_schema,table_name,constraint_definition,is_deferrable,initially_deferred
public,service_plan_templates_pkey,PRIMARY KEY,public,service_plan_templates,PRIMARY KEY (id),false,false
public,service_plan_templates_vertical_id_fkey,FOREIGN KEY,public,service_plan_templates,FOREIGN KEY (vertical_id) REFERENCES verticals(id) ON DELETE SET NULL,false,false
public,service_price_dimensions_pkey,PRIMARY KEY,public,service_price_dimensions,PRIMARY KEY (id),false,false
public,service_price_dimensions_pricing_rule_id_fkey,FOREIGN KEY,public,service_price_dimensions,FOREIGN KEY (pricing_rule_id) REFERENCES service_pricing_rules(id) ON DELETE CASCADE,false,false
public,service_pricing_rules_org_id_fkey,FOREIGN KEY,public,service_pricing_rules,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE RESTRICT,false,false
public,service_pricing_rules_pkey,PRIMARY KEY,public,service_pricing_rules,PRIMARY KEY (id),false,false
public,service_pricing_rules_service_offering_id_fkey,FOREIGN KEY,public,service_pricing_rules,FOREIGN KEY (service_offering_id) REFERENCES service_offerings(id) ON DELETE CASCADE,false,false
public,service_pricing_rules_service_plan_template_id_fkey,FOREIGN KEY,public,service_pricing_rules,FOREIGN KEY (service_plan_template_id) REFERENCES service_plan_templates(id) ON DELETE SET NULL,false,false
public,service_pricing_rules_vertical_id_fkey,FOREIGN KEY,public,service_pricing_rules,FOREIGN KEY (vertical_id) REFERENCES verticals(id) ON DELETE SET NULL,false,false
public,sqft_bands_key_key,UNIQUE,public,sqft_bands,UNIQUE (key),false,false
public,sqft_bands_pkey,PRIMARY KEY,public,sqft_bands,PRIMARY KEY (id),false,false
public,status_definitions_org_id_fkey,FOREIGN KEY,public,status_definitions,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,status_definitions_pkey,PRIMARY KEY,public,status_definitions,PRIMARY KEY (id),false,false
public,status_transition_rules_department_id_fkey,FOREIGN KEY,public,status_transition_rules,FOREIGN KEY (department_id) REFERENCES departments(id) ON DELETE CASCADE,false,false
public,status_transition_rules_org_id_fkey,FOREIGN KEY,public,status_transition_rules,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,status_transition_rules_pkey,PRIMARY KEY,public,status_transition_rules,PRIMARY KEY (id),false,false
public,status_transition_rules_work_unit_id_fkey,FOREIGN KEY,public,status_transition_rules,FOREIGN KEY (work_unit_id) REFERENCES work_units(id) ON DELETE CASCADE,false,false
public,tags_name_key,UNIQUE,public,tags,UNIQUE (name),false,false
public,tags_pkey,PRIMARY KEY,public,tags,PRIMARY KEY (id),false,false
public,uq_user_access_profiles_user_org,UNIQUE,public,user_access_profiles,"UNIQUE (user_id, org_id)",false,false
public,user_access_profiles_department_scope_check,CHECK,public,user_access_profiles,"CHECK (department_scope = ANY (ARRAY['all'::text, 'restricted'::text]))",false,false
public,user_access_profiles_org_id_fkey,FOREIGN KEY,public,user_access_profiles,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,user_access_profiles_pkey,PRIMARY KEY,public,user_access_profiles,PRIMARY KEY (id),false,false
public,user_access_profiles_site_scope_check,CHECK,public,user_access_profiles,"CHECK (site_scope = ANY (ARRAY['all'::text, 'restricted'::text]))",false,false
public,user_access_profiles_user_id_fkey,FOREIGN KEY,public,user_access_profiles,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,false,false
public,uq_user_department_access_user_org_dept,UNIQUE,public,user_department_access,"UNIQUE (user_id, org_id, department_id)",false,false
public,user_department_access_department_id_fkey,FOREIGN KEY,public,user_department_access,FOREIGN KEY (department_id) REFERENCES departments(id) ON DELETE CASCADE,false,false
public,user_department_access_pkey,PRIMARY KEY,public,user_department_access,PRIMARY KEY (id),false,false
public,user_department_access_profile_fk,FOREIGN KEY,public,user_department_access,"FOREIGN KEY (user_id, org_id) REFERENCES user_access_profiles(user_id, org_id) ON DELETE CASCADE",false,false
public,user_profiles_id_fkey,FOREIGN KEY,public,user_profiles,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE,false,false
public,user_profiles_pkey,PRIMARY KEY,public,user_profiles,PRIMARY KEY (id),false,false
public,user_roles_org_id_fkey,FOREIGN KEY,public,user_roles,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,user_roles_pkey,PRIMARY KEY,public,user_roles,"PRIMARY KEY (user_id, org_id, role)",false,false
public,user_roles_user_id_fkey,FOREIGN KEY,public,user_roles,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,false,false
public,uq_user_site_access_user_org_location,UNIQUE,public,user_site_access,"UNIQUE (user_id, org_id, location_id)",false,false
public,user_site_access_location_id_fkey,FOREIGN KEY,public,user_site_access,FOREIGN KEY (location_id) REFERENCES locations(id) ON DELETE CASCADE,false,false
public,user_site_access_pkey,PRIMARY KEY,public,user_site_access,PRIMARY KEY (id),false,false
public,user_site_access_profile_fk,FOREIGN KEY,public,user_site_access,"FOREIGN KEY (user_id, org_id) REFERENCES user_access_profiles(user_id, org_id) ON DELETE CASCADE",false,false
public,vendor_statuses_key_key,UNIQUE,public,vendor_statuses,UNIQUE (key),false,false
public,vendor_statuses_pkey,PRIMARY KEY,public,vendor_statuses,PRIMARY KEY (id),false,false
public,vendor_tags_pkey,PRIMARY KEY,public,vendor_tags,"PRIMARY KEY (vendor_id, tag_id)",false,false
public,vendor_tags_tag_id_fkey,FOREIGN KEY,public,vendor_tags,FOREIGN KEY (tag_id) REFERENCES tags(id) ON DELETE CASCADE,false,false
public,vendor_tags_vendor_id_fkey,FOREIGN KEY,public,vendor_tags,FOREIGN KEY (vendor_id) REFERENCES vendors(id) ON DELETE CASCADE,false,false
public,vendor_users_contact_id_fkey,FOREIGN KEY,public,vendor_users,FOREIGN KEY (contact_id) REFERENCES contacts(id) ON DELETE CASCADE,false,false
public,vendor_users_org_id_fkey,FOREIGN KEY,public,vendor_users,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE RESTRICT,false,false
public,vendor_users_pkey,PRIMARY KEY,public,vendor_users,PRIMARY KEY (id),false,false
public,vendor_users_vendor_id_contact_id_key,UNIQUE,public,vendor_users,"UNIQUE (vendor_id, contact_id)",false,false
public,vendor_users_vendor_id_fkey,FOREIGN KEY,public,vendor_users,FOREIGN KEY (vendor_id) REFERENCES vendors(id) ON DELETE CASCADE,false,false
public,vendor_verticals_pkey,PRIMARY KEY,public,vendor_verticals,"PRIMARY KEY (vendor_id, vertical_id)",false,false
public,vendor_verticals_vendor_id_fkey,FOREIGN KEY,public,vendor_verticals,FOREIGN KEY (vendor_id) REFERENCES vendors(id) ON DELETE CASCADE,false,false
public,vendor_verticals_vertical_id_fkey,FOREIGN KEY,public,vendor_verticals,FOREIGN KEY (vertical_id) REFERENCES verticals(id) ON DELETE RESTRICT,false,false
public,chk_vendors_operating_hours,CHECK,public,vendors,CHECK (operating_hours_open IS NULL OR operating_hours_close IS NULL OR operating_hours_open < operating_hours_close),false,false
public,chk_vendors_payout_percent,CHECK,public,vendors,CHECK (payout_percent >= 0::numeric AND payout_percent <= 1::numeric),false,false
public,vendors_drivers_license_doc_file_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (drivers_license_doc_file_id) REFERENCES documents(id) ON DELETE SET NULL,false,false
public,vendors_insurance_doc_file_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (insurance_doc_file_id) REFERENCES documents(id) ON DELETE SET NULL,false,false
public,vendors_org_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE RESTRICT,false,false
public,vendors_payout_override_type_check,CHECK,public,vendors,"CHECK (payout_override_type = ANY (ARRAY['percentage'::text, 'flat'::text]))",false,false
public,vendors_pkey,PRIMARY KEY,public,vendors,PRIMARY KEY (id),false,false
public,vendors_primary_contact_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (primary_contact_id) REFERENCES contacts(id) ON DELETE SET NULL,false,false
public,vendors_primary_person_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (primary_person_id) REFERENCES persons(id),false,false
public,vendors_vendor_status_id_fkey,FOREIGN KEY,public,vendors,FOREIGN KEY (vendor_status_id) REFERENCES vendor_statuses(id),false,false
public,verticals_pkey,PRIMARY KEY,public,verticals,PRIMARY KEY (id),false,false
public,verticals_slug_key,UNIQUE,public,verticals,UNIQUE (slug),false,false
public,uq_work_units_department_key,UNIQUE,public,work_units,"UNIQUE (department_id, key)",false,false
public,work_units_department_id_fkey,FOREIGN KEY,public,work_units,FOREIGN KEY (department_id) REFERENCES departments(id) ON DELETE CASCADE,false,false
public,work_units_key_nonempty,CHECK,public,work_units,CHECK (btrim(key) <> ''::text),false,false
public,work_units_name_nonempty,CHECK,public,work_units,CHECK (btrim(name) <> ''::text),false,false
public,work_units_org_id_fkey,FOREIGN KEY,public,work_units,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE RESTRICT,false,false
public,work_units_pkey,PRIMARY KEY,public,work_units,PRIMARY KEY (id),false,false
public,workflow_action_runs_action_id_fkey,FOREIGN KEY,public,workflow_action_runs,FOREIGN KEY (action_id) REFERENCES workflow_actions(id) ON DELETE SET NULL,false,false
public,workflow_action_runs_org_id_fkey,FOREIGN KEY,public,workflow_action_runs,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,workflow_action_runs_pkey,PRIMARY KEY,public,workflow_action_runs,PRIMARY KEY (id),false,false
public,workflow_action_runs_workflow_id_fkey,FOREIGN KEY,public,workflow_action_runs,FOREIGN KEY (workflow_id) REFERENCES workflows(id) ON DELETE CASCADE,false,false
public,workflow_action_runs_workflow_run_id_fkey,FOREIGN KEY,public,workflow_action_runs,FOREIGN KEY (workflow_run_id) REFERENCES workflow_runs(id) ON DELETE CASCADE,false,false
public,workflow_actions_pkey,PRIMARY KEY,public,workflow_actions,PRIMARY KEY (id),false,false
public,workflow_actions_target_entity_required_for_update,CHECK,public,workflow_actions,CHECK (action_type = 'update_entity'::text AND target_entity IS NOT NULL AND length(TRIM(BOTH FROM target_entity)) > 0 OR action_type <> 'update_entity'::text),false,false
public,workflow_actions_workflow_id_fkey,FOREIGN KEY,public,workflow_actions,FOREIGN KEY (workflow_id) REFERENCES workflows(id) ON DELETE CASCADE,false,false
public,workflow_conditions_pkey,PRIMARY KEY,public,workflow_conditions,PRIMARY KEY (id),false,false
public,workflow_conditions_workflow_id_fkey,FOREIGN KEY,public,workflow_conditions,FOREIGN KEY (workflow_id) REFERENCES workflows(id) ON DELETE CASCADE,false,false
public,workflow_events_org_id_fkey,FOREIGN KEY,public,workflow_events,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,workflow_events_pkey,PRIMARY KEY,public,workflow_events,PRIMARY KEY (id),false,false
public,workflow_runs_event_id_fkey,FOREIGN KEY,public,workflow_runs,FOREIGN KEY (event_id) REFERENCES workflow_events(id) ON DELETE SET NULL,false,false
public,workflow_runs_org_id_fkey,FOREIGN KEY,public,workflow_runs,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,workflow_runs_pkey,PRIMARY KEY,public,workflow_runs,PRIMARY KEY (id),false,false
public,workflow_runs_workflow_id_fkey,FOREIGN KEY,public,workflow_runs,FOREIGN KEY (workflow_id) REFERENCES workflows(id) ON DELETE CASCADE,false,false
public,workflows_created_by_fkey,FOREIGN KEY,public,workflows,FOREIGN KEY (created_by) REFERENCES auth.users(id),false,false
public,workflows_org_id_fkey,FOREIGN KEY,public,workflows,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,workflows_pkey,PRIMARY KEY,public,workflows,PRIMARY KEY (id),false,false
public,workspace_kpi_placement_department_id_fkey,FOREIGN KEY,public,workspace_kpi_placement,FOREIGN KEY (department_id) REFERENCES departments(id) ON DELETE CASCADE,false,false
public,workspace_kpi_placement_format_check,CHECK,public,workspace_kpi_placement,"CHECK (format_override IS NULL OR (format_override = ANY (ARRAY['count'::text, 'currency'::text, 'percent'::text, 'duration'::text, 'text'::text])))",false,false
public,workspace_kpi_placement_lane_check,CHECK,public,workspace_kpi_placement,"CHECK (lane_override IS NULL OR (lane_override = ANY (ARRAY['business'::text, 'ai'::text])))",false,false
public,workspace_kpi_placement_org_id_fkey,FOREIGN KEY,public,workspace_kpi_placement,FOREIGN KEY (org_id) REFERENCES orgs(id) ON DELETE CASCADE,false,false
public,workspace_kpi_placement_pkey,PRIMARY KEY,public,workspace_kpi_placement,PRIMARY KEY (id),false,false
public,workspace_kpi_placement_scope_check,CHECK,public,workspace_kpi_placement,CHECK (surface = 'workspace'::text AND department_id IS NULL AND work_unit_id IS NULL OR surface = 'department'::text AND department_id IS NOT NULL AND work_unit_id IS NULL OR surface = 'work_unit'::text AND department_id IS NOT NULL AND work_unit_id IS NOT NULL),false,false
public,workspace_kpi_placement_surface_check,CHECK,public,workspace_kpi_placement,"CHECK (surface = ANY (ARRAY['workspace'::text, 'department'::text, 'work_unit'::text]))",false,false
public,workspace_kpi_placement_work_unit_id_fkey,FOREIGN KEY,public,workspace_kpi_placement,FOREIGN KEY (work_unit_id) REFERENCES work_units(id) ON DELETE CASCADE,false,false
