trigger_catalog,trigger_schema,event_object_schema,event_object_table,trigger_name,event_manipulation,action_timing,action_orientation,action_condition,action_order,full_trigger_definition
postgres,public,public,action_definitions,set_action_definitions_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_action_definitions_updated_at BEFORE UPDATE ON action_definitions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,action_placements,set_action_placements_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_action_placements_updated_at BEFORE UPDATE ON action_placements FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,app_users,trg_app_users_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_app_users_updated_at BEFORE UPDATE ON app_users FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,assignments,trg_assignments_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_assignments_updated_at BEFORE UPDATE ON assignments FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,campaigns,trg_campaigns_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_campaigns_updated_at BEFORE UPDATE ON campaigns FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,charges,trg_charges_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_charges_updated_at BEFORE UPDATE ON charges FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,charges,trg_enforce_childcare_charge_immutability,DELETE,BEFORE,ROW,,1,CREATE TRIGGER trg_enforce_childcare_charge_immutability BEFORE DELETE OR UPDATE ON charges FOR EACH ROW EXECUTE FUNCTION enforce_childcare_charge_immutability()
postgres,public,public,charges,trg_enforce_childcare_charge_immutability,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_enforce_childcare_charge_immutability BEFORE DELETE OR UPDATE ON charges FOR EACH ROW EXECUTE FUNCTION enforce_childcare_charge_immutability()
postgres,public,public,child_attendance_events,trg_prevent_child_attendance_events_mutation,DELETE,BEFORE,ROW,,1,CREATE TRIGGER trg_prevent_child_attendance_events_mutation BEFORE DELETE OR UPDATE ON child_attendance_events FOR EACH ROW EXECUTE FUNCTION prevent_child_attendance_events_mutation()
postgres,public,public,child_attendance_events,trg_prevent_child_attendance_events_mutation,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_prevent_child_attendance_events_mutation BEFORE DELETE OR UPDATE ON child_attendance_events FOR EACH ROW EXECUTE FUNCTION prevent_child_attendance_events_mutation()
postgres,public,public,child_attendance_events,trg_validate_child_attendance_events_consistency,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_child_attendance_events_consistency BEFORE INSERT ON child_attendance_events FOR EACH ROW EXECUTE FUNCTION validate_child_attendance_events_consistency()
postgres,public,public,child_enrollment_agreements,trg_child_enrollment_agreements_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_child_enrollment_agreements_updated_at BEFORE UPDATE ON child_enrollment_agreements FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,child_enrollment_agreements,trg_validate_child_enrollment_agreements_consistency,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_child_enrollment_agreements_consistency BEFORE INSERT OR UPDATE ON child_enrollment_agreements FOR EACH ROW EXECUTE FUNCTION validate_child_enrollment_agreements_consistency()
postgres,public,public,child_enrollment_agreements,trg_validate_child_enrollment_agreements_consistency,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_child_enrollment_agreements_consistency BEFORE INSERT OR UPDATE ON child_enrollment_agreements FOR EACH ROW EXECUTE FUNCTION validate_child_enrollment_agreements_consistency()
postgres,public,public,child_placements,trg_child_placements_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_child_placements_updated_at BEFORE UPDATE ON child_placements FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,child_placements,trg_validate_child_placements_consistency,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_child_placements_consistency BEFORE INSERT OR UPDATE ON child_placements FOR EACH ROW EXECUTE FUNCTION validate_child_placements_consistency()
postgres,public,public,child_placements,trg_validate_child_placements_consistency,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_child_placements_consistency BEFORE INSERT OR UPDATE ON child_placements FOR EACH ROW EXECUTE FUNCTION validate_child_placements_consistency()
postgres,public,public,childcare_capacity_rules,trg_childcare_capacity_rules_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_capacity_rules_updated_at BEFORE UPDATE ON childcare_capacity_rules FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_capacity_rules,trg_validate_childcare_capacity_rules_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_capacity_rules_scope BEFORE INSERT OR UPDATE ON childcare_capacity_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_capacity_rules,trg_validate_childcare_capacity_rules_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_capacity_rules_scope BEFORE INSERT OR UPDATE ON childcare_capacity_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_operating_windows,trg_childcare_operating_windows_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_operating_windows_updated_at BEFORE UPDATE ON childcare_operating_windows FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_operating_windows,trg_validate_childcare_operating_windows_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_operating_windows_scope BEFORE INSERT OR UPDATE ON childcare_operating_windows FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_operating_windows,trg_validate_childcare_operating_windows_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_operating_windows_scope BEFORE INSERT OR UPDATE ON childcare_operating_windows FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_rate_plans,trg_childcare_rate_plans_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_rate_plans_updated_at BEFORE UPDATE ON childcare_rate_plans FOR EACH ROW EXECUTE FUNCTION set_updated_at()
