trigger_catalog,trigger_schema,event_object_schema,event_object_table,trigger_name,event_manipulation,action_timing,action_orientation,action_condition,action_order,full_trigger_definition
postgres,public,public,childcare_rate_plans,trg_validate_childcare_rate_plans_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_rate_plans_scope BEFORE INSERT OR UPDATE ON childcare_rate_plans FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_rate_plans,trg_validate_childcare_rate_plans_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_rate_plans_scope BEFORE INSERT OR UPDATE ON childcare_rate_plans FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_rate_rules,trg_childcare_rate_rules_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_rate_rules_updated_at BEFORE UPDATE ON childcare_rate_rules FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_rate_rules,trg_validate_childcare_rate_rule,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_rate_rule BEFORE INSERT OR UPDATE ON childcare_rate_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_rate_rule()
postgres,public,public,childcare_rate_rules,trg_validate_childcare_rate_rule,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_rate_rule BEFORE INSERT OR UPDATE ON childcare_rate_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_rate_rule()
postgres,public,public,childcare_ratio_rule_tiers,trg_childcare_ratio_rule_tiers_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_ratio_rule_tiers_updated_at BEFORE UPDATE ON childcare_ratio_rule_tiers FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_ratio_rules,trg_childcare_ratio_rules_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_ratio_rules_updated_at BEFORE UPDATE ON childcare_ratio_rules FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_ratio_rules,trg_validate_childcare_ratio_rules_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_ratio_rules_scope BEFORE INSERT OR UPDATE ON childcare_ratio_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_ratio_rules,trg_validate_childcare_ratio_rules_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_ratio_rules_scope BEFORE INSERT OR UPDATE ON childcare_ratio_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_schedule_rules,trg_childcare_schedule_rules_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_childcare_schedule_rules_updated_at BEFORE UPDATE ON childcare_schedule_rules FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,childcare_schedule_rules,trg_validate_childcare_schedule_rules_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_childcare_schedule_rules_scope BEFORE INSERT OR UPDATE ON childcare_schedule_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,childcare_schedule_rules,trg_validate_childcare_schedule_rules_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_childcare_schedule_rules_scope BEFORE INSERT OR UPDATE ON childcare_schedule_rules FOR EACH ROW EXECUTE FUNCTION validate_childcare_config_scope()
postgres,public,public,commercial_policies,trg_commercial_policies_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_commercial_policies_updated_at BEFORE UPDATE ON commercial_policies FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_identities,trg_comm_identities_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_comm_identities_updated_at BEFORE UPDATE ON communication_identities FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_identity_grants,trg_comm_identity_grants_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_comm_identity_grants_updated_at BEFORE UPDATE ON communication_identity_grants FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_identity_location_bindings,trg_comm_identity_loc_bindings_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_comm_identity_loc_bindings_updated_at BEFORE UPDATE ON communication_identity_location_bindings FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_messages,trg_comm_messages_bump_thread_last_message,INSERT,AFTER,ROW,,1,CREATE TRIGGER trg_comm_messages_bump_thread_last_message AFTER INSERT ON communication_messages FOR EACH ROW EXECUTE FUNCTION bump_communication_thread_last_message_at()
postgres,public,public,communication_provider_accounts,trg_comm_provider_accounts_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_comm_provider_accounts_updated_at BEFORE UPDATE ON communication_provider_accounts FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_scheduled_sends,trg_comm_sched_sends_org_scope,INSERT,BEFORE,ROW,,1,"CREATE TRIGGER trg_comm_sched_sends_org_scope BEFORE INSERT OR UPDATE OF org_id, entity_id, recipient_person_id ON communication_scheduled_sends FOR EACH ROW EXECUTE FUNCTION enforce_communication_scheduled_sends_org_matches_entities()"
postgres,public,public,communication_scheduled_sends,trg_comm_sched_sends_org_scope,UPDATE,BEFORE,ROW,,1,"CREATE TRIGGER trg_comm_sched_sends_org_scope BEFORE INSERT OR UPDATE OF org_id, entity_id, recipient_person_id ON communication_scheduled_sends FOR EACH ROW EXECUTE FUNCTION enforce_communication_scheduled_sends_org_matches_entities()"
postgres,public,public,communication_scheduled_sends,trg_comm_sched_sends_updated_at,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_comm_sched_sends_updated_at BEFORE UPDATE ON communication_scheduled_sends FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,communication_template_versions,trg_sync_communication_template_version_legacy,INSERT,BEFORE,ROW,,1,"CREATE TRIGGER trg_sync_communication_template_version_legacy BEFORE INSERT OR UPDATE OF version, version_number ON communication_template_versions FOR EACH ROW EXECUTE FUNCTION sync_communication_template_version_legacy()"
postgres,public,public,communication_template_versions,trg_sync_communication_template_version_legacy,UPDATE,BEFORE,ROW,,1,"CREATE TRIGGER trg_sync_communication_template_version_legacy BEFORE INSERT OR UPDATE OF version, version_number ON communication_template_versions FOR EACH ROW EXECUTE FUNCTION sync_communication_template_version_legacy()"
postgres,public,public,config_layout_assist_proposals,trg_config_layout_assist_proposals_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_config_layout_assist_proposals_updated_at BEFORE UPDATE ON config_layout_assist_proposals FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,consumption_event_types,trg_consumption_event_types_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_consumption_event_types_updated_at BEFORE UPDATE ON consumption_event_types FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,consumption_events,trg_consumption_events_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_consumption_events_updated_at BEFORE UPDATE ON consumption_events FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,contacts,trg_contacts_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_contacts_updated_at BEFORE UPDATE ON contacts FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,customer_members,trg_customer_members_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_customer_members_updated_at BEFORE UPDATE ON customer_members FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,customer_person_role_types,trg_customer_person_role_types_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_customer_person_role_types_updated_at BEFORE UPDATE ON customer_person_role_types FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,customers,trg_assign_org_record_number_customers,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_assign_org_record_number_customers BEFORE INSERT ON customers FOR EACH ROW EXECUTE FUNCTION trg_assign_org_scoped_record_number()
postgres,public,public,customers,trg_customers_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_customers_updated_at BEFORE UPDATE ON customers FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_applications,set_discount_applications_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_applications_updated_at BEFORE UPDATE ON discount_applications FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_commitments,set_discount_commitments_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_commitments_updated_at BEFORE UPDATE ON discount_commitments FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_program_benefits,set_discount_program_benefits_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_program_benefits_updated_at BEFORE UPDATE ON discount_program_benefits FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_program_commitment_rules,set_discount_program_commitment_rules_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_program_commitment_rules_updated_at BEFORE UPDATE ON discount_program_commitment_rules FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_program_qualifiers,set_discount_program_qualifiers_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_program_qualifiers_updated_at BEFORE UPDATE ON discount_program_qualifiers FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discount_programs,set_discount_programs_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER set_discount_programs_updated_at BEFORE UPDATE ON discount_programs FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,discounts,trg_discounts_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_discounts_updated_at BEFORE UPDATE ON discounts FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,documents,trg_documents_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_documents_updated_at BEFORE UPDATE ON documents FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,entity_labels,trg_entity_labels_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_entity_labels_updated_at BEFORE UPDATE ON entity_labels FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,financial_charge_templates,trg_financial_charge_templates_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_financial_charge_templates_updated_at BEFORE UPDATE ON financial_charge_templates FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,financial_policies,trg_financial_policies_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_financial_policies_updated_at BEFORE UPDATE ON financial_policies FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,financial_policies,trg_validate_financial_policy_scope,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_validate_financial_policy_scope BEFORE INSERT OR UPDATE ON financial_policies FOR EACH ROW EXECUTE FUNCTION validate_financial_policy_scope()
postgres,public,public,financial_policies,trg_validate_financial_policy_scope,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_financial_policy_scope BEFORE INSERT OR UPDATE ON financial_policies FOR EACH ROW EXECUTE FUNCTION validate_financial_policy_scope()
postgres,public,public,financial_services,trg_financial_services_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_financial_services_updated_at BEFORE UPDATE ON financial_services FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_definition_versions,trg_form_definition_versions_immutability,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_definition_versions_immutability BEFORE UPDATE ON form_definition_versions FOR EACH ROW EXECUTE FUNCTION enforce_form_definition_versions_immutability()
postgres,public,public,form_definition_versions,trg_form_definition_versions_updated_at,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_form_definition_versions_updated_at BEFORE UPDATE ON form_definition_versions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_definition_versions,trg_sync_form_definition_versions_org_id,INSERT,BEFORE,ROW,,1,"CREATE TRIGGER trg_sync_form_definition_versions_org_id BEFORE INSERT OR UPDATE OF form_definition_id, org_id ON form_definition_versions FOR EACH ROW EXECUTE FUNCTION sync_form_definition_versions_org_id()"
postgres,public,public,form_definition_versions,trg_sync_form_definition_versions_org_id,UPDATE,BEFORE,ROW,,3,"CREATE TRIGGER trg_sync_form_definition_versions_org_id BEFORE INSERT OR UPDATE OF form_definition_id, org_id ON form_definition_versions FOR EACH ROW EXECUTE FUNCTION sync_form_definition_versions_org_id()"
postgres,public,public,form_definitions,trg_form_definitions_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_definitions_updated_at BEFORE UPDATE ON form_definitions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_packet_definitions,trg_form_packet_definitions_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_packet_definitions_updated_at BEFORE UPDATE ON form_packet_definitions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_packet_items,trg_form_packet_items_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_packet_items_updated_at BEFORE UPDATE ON form_packet_items FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_packet_items,trg_sync_form_packet_items_org,INSERT,BEFORE,ROW,,1,"CREATE TRIGGER trg_sync_form_packet_items_org BEFORE INSERT OR UPDATE OF packet_definition_id, org_id ON form_packet_items FOR EACH ROW EXECUTE FUNCTION sync_form_packet_items_org_from_packet()"
postgres,public,public,form_packet_items,trg_sync_form_packet_items_org,UPDATE,BEFORE,ROW,,2,"CREATE TRIGGER trg_sync_form_packet_items_org BEFORE INSERT OR UPDATE OF packet_definition_id, org_id ON form_packet_items FOR EACH ROW EXECUTE FUNCTION sync_form_packet_items_org_from_packet()"
postgres,public,public,form_packet_items,trg_validate_form_packet_items_form,INSERT,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_form_packet_items_form BEFORE INSERT OR UPDATE ON form_packet_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_items_form_org()
postgres,public,public,form_packet_items,trg_validate_form_packet_items_form,UPDATE,BEFORE,ROW,,3,CREATE TRIGGER trg_validate_form_packet_items_form BEFORE INSERT OR UPDATE ON form_packet_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_items_form_org()
postgres,public,public,form_packet_session_items,trg_form_packet_session_items_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_packet_session_items_updated_at BEFORE UPDATE ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_packet_session_items,trg_sync_form_packet_session_items_org,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_sync_form_packet_session_items_org BEFORE INSERT OR UPDATE OF packet_session_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION sync_form_packet_session_items_org_from_session()
postgres,public,public,form_packet_session_items,trg_sync_form_packet_session_items_org,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_sync_form_packet_session_items_org BEFORE INSERT OR UPDATE OF packet_session_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION sync_form_packet_session_items_org_from_session()
postgres,public,public,form_packet_session_items,trg_validate_form_packet_session_items_packet,INSERT,BEFORE,ROW,,2,"CREATE TRIGGER trg_validate_form_packet_session_items_packet BEFORE INSERT OR UPDATE OF packet_session_id, packet_item_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_session_items_packet_match()"
postgres,public,public,form_packet_session_items,trg_validate_form_packet_session_items_packet,UPDATE,BEFORE,ROW,,3,"CREATE TRIGGER trg_validate_form_packet_session_items_packet BEFORE INSERT OR UPDATE OF packet_session_id, packet_item_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_session_items_packet_match()"
postgres,public,public,form_packet_session_items,trg_validate_form_packet_session_items_sub,INSERT,BEFORE,ROW,,3,CREATE TRIGGER trg_validate_form_packet_session_items_sub BEFORE INSERT OR UPDATE OF form_submission_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_session_items_submission_org()
postgres,public,public,form_packet_session_items,trg_validate_form_packet_session_items_sub,UPDATE,BEFORE,ROW,,4,CREATE TRIGGER trg_validate_form_packet_session_items_sub BEFORE INSERT OR UPDATE OF form_submission_id ON form_packet_session_items FOR EACH ROW EXECUTE FUNCTION validate_form_packet_session_items_submission_org()
postgres,public,public,form_packet_sessions,trg_form_packet_sessions_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_packet_sessions_updated_at BEFORE UPDATE ON form_packet_sessions FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_packet_sessions,trg_sync_form_packet_sessions_org,INSERT,BEFORE,ROW,,1,"CREATE TRIGGER trg_sync_form_packet_sessions_org BEFORE INSERT OR UPDATE OF packet_definition_id, org_id ON form_packet_sessions FOR EACH ROW EXECUTE FUNCTION sync_form_packet_sessions_org_from_packet_def()"
postgres,public,public,form_packet_sessions,trg_sync_form_packet_sessions_org,UPDATE,BEFORE,ROW,,2,"CREATE TRIGGER trg_sync_form_packet_sessions_org BEFORE INSERT OR UPDATE OF packet_definition_id, org_id ON form_packet_sessions FOR EACH ROW EXECUTE FUNCTION sync_form_packet_sessions_org_from_packet_def()"
postgres,public,public,form_packet_sessions,trg_validate_form_packet_sessions_link,INSERT,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_form_packet_sessions_link BEFORE INSERT OR UPDATE OF started_via_public_link_id ON form_packet_sessions FOR EACH ROW EXECUTE FUNCTION validate_form_packet_sessions_link_org()
postgres,public,public,form_packet_sessions,trg_validate_form_packet_sessions_link,UPDATE,BEFORE,ROW,,3,CREATE TRIGGER trg_validate_form_packet_sessions_link BEFORE INSERT OR UPDATE OF started_via_public_link_id ON form_packet_sessions FOR EACH ROW EXECUTE FUNCTION validate_form_packet_sessions_link_org()
postgres,public,public,form_public_links,trg_form_public_links_updated_at,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_form_public_links_updated_at BEFORE UPDATE ON form_public_links FOR EACH ROW EXECUTE FUNCTION set_updated_at()
postgres,public,public,form_public_links,trg_sync_form_public_links_org_from_definition,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_sync_form_public_links_org_from_definition BEFORE INSERT OR UPDATE OF form_definition_id ON form_public_links FOR EACH ROW EXECUTE FUNCTION sync_form_public_links_org_from_definition()
postgres,public,public,form_public_links,trg_sync_form_public_links_org_from_definition,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_sync_form_public_links_org_from_definition BEFORE INSERT OR UPDATE OF form_definition_id ON form_public_links FOR EACH ROW EXECUTE FUNCTION sync_form_public_links_org_from_definition()
postgres,public,public,form_public_links,trg_validate_form_public_links_consistency,INSERT,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_form_public_links_consistency BEFORE INSERT OR UPDATE ON form_public_links FOR EACH ROW EXECUTE FUNCTION validate_form_public_links_consistency()
postgres,public,public,form_public_links,trg_validate_form_public_links_consistency,UPDATE,BEFORE,ROW,,3,CREATE TRIGGER trg_validate_form_public_links_consistency BEFORE INSERT OR UPDATE ON form_public_links FOR EACH ROW EXECUTE FUNCTION validate_form_public_links_consistency()
postgres,public,public,form_submission_documents,trg_sync_form_submission_documents_org,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_sync_form_submission_documents_org BEFORE INSERT OR UPDATE OF form_submission_id ON form_submission_documents FOR EACH ROW EXECUTE FUNCTION sync_form_submission_documents_org_from_submission()
postgres,public,public,form_submission_documents,trg_sync_form_submission_documents_org,UPDATE,BEFORE,ROW,,1,CREATE TRIGGER trg_sync_form_submission_documents_org BEFORE INSERT OR UPDATE OF form_submission_id ON form_submission_documents FOR EACH ROW EXECUTE FUNCTION sync_form_submission_documents_org_from_submission()
postgres,public,public,form_submission_documents,trg_validate_form_submission_documents_doc_org,INSERT,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_form_submission_documents_doc_org BEFORE INSERT OR UPDATE ON form_submission_documents FOR EACH ROW EXECUTE FUNCTION validate_form_submission_documents_org_matches_document()
postgres,public,public,form_submission_documents,trg_validate_form_submission_documents_doc_org,UPDATE,BEFORE,ROW,,2,CREATE TRIGGER trg_validate_form_submission_documents_doc_org BEFORE INSERT OR UPDATE ON form_submission_documents FOR EACH ROW EXECUTE FUNCTION validate_form_submission_documents_org_matches_document()
postgres,public,public,form_submission_signatures,trg_sync_form_submission_signatures_org,INSERT,BEFORE,ROW,,1,CREATE TRIGGER trg_sync_form_submission_signatures_org BEFORE INSERT OR UPDATE OF form_submission_id ON form_submission_signatures FOR EACH ROW EXECUTE FUNCTION sync_form_submission_signatures_org_from_submission()
